id,name,bits,layout,bias,decimal_digits,dyn_range_dec,phi_distance,cluster,gf_relation,status,standard,use_case,sw_kind,sw_vectors,decode_hw,compute_hw,source
fp6_e2m3,FP6 E2M3,6,1/2/3,1,1.2,0.6,0.049,MlLowPrecision,ally,Verified,OCP MX,mantissa-heavy quant,bitexact,64,0,0,OCP MX v1.0 (2023)
fp6_e3m2,FP6 E3M2,6,1/3/2,3,0.9,1.7,0.882,MlLowPrecision,competitor,Verified,OCP MX,aggressive quant inference,bitexact,64,0,0,OCP MX v1.0 (2023)
fp8_e4m3,FP8 E4M3,8,1/4/3,7,1.2,4.2,0.715,MlLowPrecision,competitor,Verified,OCP / NVIDIA / Arm / Intel,"inference, gradient ranges",bitexact,,"1 [измерено: 256/256 exhaustive; C:design on main, log≠#199]",0,Micikevicius 2022 (arXiv:2209.05433)
fp8_e5m2,FP8 E5M2,8,1/5/2,15,0.9,9.0,1.882,MlLowPrecision,competitor,Verified,OCP / NVIDIA,"activations, wide range",bitexact,,0,0,Micikevicius 2022
bfloat16,bfloat16 (BF16),16,1/8/7,127,2.4,76.5,0.525,MlLowPrecision,competitor,Verified,Google Brain,training (range > precision),bitexact,,1 [измерено: 8/8 corner; E:#199 run 28326217079],0,Wang-Kanwar 2019
tf32,TensorFloat-32 (TF32),19,1/8/10,127,3.3,76.5,0.27,MlLowPrecision,competitor,Verified,NVIDIA Ampere,A100/H100 mixed precision,bitexact,8,0,0,NVIDIA Ampere whitepaper
mxfp4,MXFP4,4,1/2/1,1,0.6,0.5,1.382,Microscaling,ally,Verified,OCP MX v1.0,extreme quant,bitexact,,0,0,Rouhani 2023
mxfp6,MXFP6,6,1/3/2,3,0.9,1.7,0.882,Microscaling,ally,Verified,OCP MX v1.0,aggressive inference,bitexact,64,0,0,Rouhani 2023
mxfp8,MXFP8,8,1/4/3,7,1.2,4.2,0.715,Microscaling,ally,Verified,OCP MX v1.0,LLM inference,bitexact,256,0,0,Rouhani 2023 (arXiv:2310.10537)
nf4,NF4 (NormalFloat 4-bit),4,0/0/4,0,1.5,,-1.0,QuantTuned,orthogonal,Verified,Dettmers 2023 (QLoRA),"LLM weight quantization (quantile-based on N(0,1))",bitexact,16,"1 [измерено: 16/16 exhaustive; C:design on main, log≠#199]",0,Dettmers 2023 (arXiv:2305.14314)
afp,AFP (Adaptive Floating-Point),16,1/8/7,127,2.4,76.5,-1.0,QuantTuned,orthogonal,Verified,Tambe 2020,efficient training,structural,0,0,0,Tambe 2020 (DAC)
posit8,Posit8,8,1/2/0,0,0.3,0.3,-1.0,PositUnumIII,ally,Verified,Posit Standard 2022 (es=2),inference,bitexact,256,0,0,Posit Standard 2022 (posithub.org)
takum8,takum8,8,1/0/0,0,0.3,,-1.0,PositUnumIII,ally,Verified,Hunhold 2024 (tapered-precision),IEEE-754 backward-compatible tapered,bitexact,256,0,0,Hunhold 2024 (arXiv:2412.20273)
posit16,Posit16,16,1/2/0,0,0.3,0.3,-1.0,PositUnumIII,ally,Verified,Posit Standard 2022 (es=2),mixed-precision training,bitexact,8,0,0,Posit Standard 2022
takum16,takum16,16,1/0/0,0,0.3,,-1.0,PositUnumIII,ally,Verified,Hunhold 2024,single-rule ladder counterexample,structural,0,0,0,Hunhold 2024 (arXiv:2412.20273)
posit32,Posit32,32,1/2/0,0,0.3,0.3,-1.0,PositUnumIII,ally,Verified,Posit Standard 2022 (es=2),f32 replacement,bitexact,8,0,0,Posit Standard 2022
takum32,takum32,32,1/0/0,0,0.3,,-1.0,PositUnumIII,ally,Verified,Hunhold 2024,tapered fp32-class,structural,0,0,0,Hunhold 2024
posit64,Posit64,64,1/2/0,0,0.3,0.3,-1.0,PositUnumIII,ally,Verified,Posit Standard 2022 (es=2),f64 replacement,bitexact,8,0,0,Posit Standard 2022
takum64,takum64,64,1/0/0,0,0.3,,-1.0,PositUnumIII,ally,Verified,Hunhold 2024,tapered fp64-class,structural,0,0,0,Hunhold 2024
lns8,LNS-8,8,1/7/0,0,0.3,37.6,-1.0,Lns,orthogonal,Verified,Arnold 1990; LNS-Madam (2021),"DSP, signal processing",bitexact,256,0,0,Alam 2021 (arXiv:2106.13914)
lns16,LNS-16,16,1/15/0,0,0.3,9863.2,-1.0,Lns,orthogonal,Verified,LNS-Madam (2021),log-domain training (mul -> add),bitexact,5,0,0,Alam 2021
lns32,LNS-32,32,1/31/0,0,0.3,646456992.3,-1.0,Lns,orthogonal,Verified,LNS-Madam (2021),log-domain DSP,bitexact,5,0,0,Alam 2021
lns64,LNS-64,64,1/63/0,0,0.3,2.7765116442616786e+18,-1.0,Lns,orthogonal,Verified,LNS-Madam (2021),scientific log-domain,bitexact,5,0,0,Alam 2021
x87_fp80,x87 FP80,80,1/15/64,16383,19.6,9863.2,-1.0,ExtendedFloat,orthogonal,Historical,Intel x87 (explicit integer bit),legacy long double on x86,bitexact,8,0,0,Intel SDM
double_double,double-double,128,2/22/104,0,31.6,1262610.4,-1.0,ExtendedFloat,orthogonal,Verified,Bailey/Hida (software),software extended precision,bitexact,8,0,0,Bailey-Hida 2001
quad_double,quad-double,256,4/44/208,0,62.9,5295775688669.6,-1.0,ExtendedFloat,orthogonal,Verified,Bailey/Hida (software),"astrophysics, quad-precision sims",bitexact,8,0,0,Bailey-Hida 2001
decimal32,decimal32,32,1/11/20,101,6.3,615.6,-1.0,Ieee754Decimal,orthogonal,Verified,IEEE 754-2008 (DPD/BID),"banking, GAAP",bitexact,7,0,0,IEEE 754-2008
decimal64,decimal64,64,1/13/50,398,15.4,2465.1,-1.0,Ieee754Decimal,orthogonal,Verified,IEEE 754-2008,financial databases,bitexact,7,0,0,IEEE 754-2008
decimal128,decimal128,128,1/17/110,6176,33.4,39455.7,-1.0,Ieee754Decimal,orthogonal,Verified,IEEE 754-2008,audit ledgers,bitexact,8,0,0,IEEE 754-2008
bcd,BCD (binary-coded decimal),0,0/0/0,0,0.3,,-1.0,IntegerFixed,orthogonal,Historical,IBM 1959,"calculators, GAAP",structural,0,0,0,ISO/IEC 8859
q_format,Q-format (Qm.n),0,1/0/0,0,0.3,,-1.0,IntegerFixed,orthogonal,Verified,TI fixed-point,"audio DSP, fixed-point ML",structural,0,0,0,TI SPRA704
int4,INT4 / UINT4,4,1/0/3,0,1.2,,-1.0,IntegerFixed,competitor,Verified,two complement,aggressive quantization,bitexact,16,0,0,ISO/IEC 9899
int8,INT8 / UINT8,8,1/0/7,0,2.4,,-1.0,IntegerFixed,competitor,Verified,two complement,"INT8 inference, per-channel scale",bitexact,256,"1 [измерено: 256/256 exhaustive; C:design on main, log≠#199]",0,ISO/IEC 9899
int16,INT16 / UINT16,16,1/0/15,0,4.8,,-1.0,IntegerFixed,competitor,Verified,two complement,"DSP, embedded ML",bitexact,7,0,0,ISO/IEC 9899
int32,INT32 / UINT32,32,1/0/31,0,9.6,,-1.0,IntegerFixed,competitor,Verified,two complement,general CPU integer,bitexact,7,0,0,ISO/IEC 9899
int64,INT64 / UINT64,64,1/0/63,0,19.3,,-1.0,IntegerFixed,competitor,Verified,two complement,"databases, timestamps",bitexact,7,0,0,ISO/IEC 9899
int128,INT128 / UINT128,128,1/0/127,0,38.5,,-1.0,IntegerFixed,competitor,Verified,two complement,"crypto, big-int",bitexact,7,0,0,Rust/Clang u128
ibm_hfp32,IBM HFP (single),32,1/7/24,64,7.5,37.9,-1.0,HistoricalVendor,orthogonal,Historical,IBM System/360 (1964); base-16 exponent,legacy mainframe,bitexact,8,0,0,IBM POO
ms_mbf32,Microsoft MBF (single),32,1/8/23,129,7.2,76.5,-1.0,HistoricalVendor,orthogonal,Historical,MS BASIC / MS-DOS (pre-IEEE),MS BASIC legacy,bitexact,8,0,0,MS-DOS docs
vax_f,VAX F-float,32,1/8/23,128,7.2,76.5,-1.0,HistoricalVendor,orthogonal,Historical,DEC VAX,DEC legacy,bitexact,8,0,0,VAX Architecture Reference
cray_float,Cray float,64,1/15/48,16384,14.8,9863.2,-1.0,HistoricalVendor,orthogonal,Historical,"Cray-1 (1976); no NaN/Inf, unrounded mul",Cray legacy,bitexact,8,0,0,Cray-1 Hardware Reference
ibm_hfp64,IBM HFP (double),64,1/7/56,64,17.2,37.9,-1.0,HistoricalVendor,orthogonal,Historical,IBM System/360 (1964),legacy mainframe,bitexact,8,0,0,IBM POO
ms_mbf64,Microsoft MBF (double),64,1/8/55,129,16.9,76.5,-1.0,HistoricalVendor,orthogonal,Historical,MS BASIC,MS BASIC legacy,bitexact,8,0,0,MS-DOS docs
vax_d,VAX D-float,64,1/8/55,128,16.9,76.5,-1.0,HistoricalVendor,orthogonal,Historical,DEC VAX,DEC legacy double,bitexact,8,0,0,VAX Architecture Reference
vax_g,VAX G-float,64,1/11/52,1024,16.0,615.9,-1.0,HistoricalVendor,orthogonal,Historical,DEC VAX (IEEE-like),DEC legacy,bitexact,8,0,0,VAX Architecture Reference
ibm_hfp128,IBM HFP (extended),128,1/7/120,64,36.4,37.9,-1.0,HistoricalVendor,orthogonal,Historical,IBM z/Architecture,legacy mainframe,bitexact,8,0,0,IBM POO
vax_h,VAX H-float,128,1/15/112,16384,34.0,9863.2,-1.0,HistoricalVendor,orthogonal,Historical,DEC VAX,DEC quad,bitexact,8,0,0,VAX Architecture Reference
block_fp,block floating point (BFP),0,0/0/0,0,0.3,,-1.0,CompressionTrick,ally,Verified,Wilkinson 1965; modern revivals,per-tile shared exponent,structural,0,0,0,Darvish-Rouhani 2020
shared_exp,shared-exponent formats,0,0/0/0,0,0.3,,-1.0,CompressionTrick,ally,Verified,generalised BFP,LLM quantization,structural,0,0,0,Darvish-Rouhani 2020
stochastic_rounding,stochastic rounding (technique),0,0/0/0,0,0.3,,-1.0,CompressionTrick,ally,Verified,Gupta 2015,training small networks at low precision,structural,0,0,0,Gupta 2015 (ICML)
per_channel_scale,INT8 with per-channel scale,8,1/0/7,0,2.4,,-1.0,CompressionTrick,competitor,Verified,Jacob 2018 (TFLite),standard quant inference,structural,0,0,0,Jacob 2018 (CVPR)
minifloat,"minifloat (arbitrary E:M, <=16 bits)",0,1/0/0,0,0.3,,-1.0,Theoretical,ally,Experimental,parametric framework,design space of GF4/GF8/GF12/GF16,structural,0,0,0,Higham 1996
tapered_fp,tapered floating point,0,1/0/0,0,0.3,,-1.0,Theoretical,ally,Experimental,Morris 1971; posit ancestor,variable mantissa via regime bits,structural,0,0,0,Morris 1971 (IEEE TC)
unum_i,Unum I (tapered + ubound),0,1/0/0,0,0.3,,-1.0,Theoretical,ally,Experimental,Gustafson 2015 (predecessor to posit),interval arithmetic,structural,0,0,0,Gustafson 2015 (The End of Error)
unum_ii,Unum II (SORN projective),0,0/0/0,0,0.3,,-1.0,Theoretical,orthogonal,Experimental,Gustafson 2016,lookup-table real arithmetic; not GF-comparable,structural,0,0,0,Gustafson 2016
